file,class,totalMetods,loc,varaiblesQty
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\util\WordCounter.java,jcity.util.WordCounter$Anonymous1,0,56,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\util\WordCounter.java,jcity.util.WordCounter,2,86,13
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\positionService\Node.java,positionService.Node$NodeInfo,0,24,21
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\positionService\Node.java,positionService.Node,9,194,28
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\positionService\Position.java,positionService.Position$generator,0,10,7
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\positionService\Position.java,positionService.Position$Positions,0,5,2
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\positionService\Position.java,positionService.Position,3,48,4
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\repositoryDataAnalyser\CloneRemoteRepository.java,repositoryDataAnalyser.CloneRemoteRepository,1,19,3
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\repositoryDataAnalyser\FileChanges.java,repositoryDataAnalyser.FileChanges,3,132,31
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\repositoryDataAnalyser\GetAllCommits.java,repositoryDataAnalyser.GetAllCommits,1,23,7
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\repositoryDataAnalyser\Helper.java,repositoryDataAnalyser.Helper,2,16,3
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\route\CORSResponseFilter.java,route.CORSResponseFilter,1,9,1
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\route\Router.java,route.Router,3,81,22
